"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","119","user can see my affiliate account block","tests","Thu Nov 13 15:57:38 UTC 2025","passed","Thu Nov 13 15:57:39 UTC 2025","TestDashboardPage","test_dashboard_page","",""
"","428","guest should see register block","tests","Thu Nov 13 15:57:40 UTC 2025","passed","Thu Nov 13 15:57:41 UTC 2025","TestLoginPage","test_login_page","",""
"","1081","guest can sign in account","tests","Thu Nov 13 15:57:42 UTC 2025","passed","Thu Nov 13 15:57:43 UTC 2025","TestLoginPage","test_login_page","",""
"","118","user can see my account block","tests","Thu Nov 13 15:57:36 UTC 2025","passed","Thu Nov 13 15:57:36 UTC 2025","TestDashboardPage","test_dashboard_page","",""
"","857","user can change account info","tests","Thu Nov 13 15:57:34 UTC 2025","passed","Thu Nov 13 15:57:35 UTC 2025","TestAccountInfoPage","test_account_info_page","",""
"","426","guest should see login form","tests","Thu Nov 13 15:57:41 UTC 2025","passed","Thu Nov 13 15:57:41 UTC 2025","TestLoginPage","test_login_page","",""
"","117","user can see my orders block","tests","Thu Nov 13 15:57:37 UTC 2025","passed","Thu Nov 13 15:57:37 UTC 2025","TestDashboardPage","test_dashboard_page","",""
"","1346","guest can create new user account","tests","Thu Nov 13 15:57:44 UTC 2025","passed","Thu Nov 13 15:57:45 UTC 2025","TestRegisteringNewUserAccount","test_register_page","",""
"","649","guest should see right sidebar","tests","Thu Nov 13 15:57:41 UTC 2025","passed","Thu Nov 13 15:57:42 UTC 2025","TestLoginPage","test_login_page","",""
"","655","user can see success message after change account info","tests","Thu Nov 13 15:57:40 UTC 2025","passed","Thu Nov 13 15:57:40 UTC 2025","TestDashboardPage","test_dashboard_page","",""
"","548","guest can see register form","tests","Thu Nov 13 15:57:43 UTC 2025","passed","Thu Nov 13 15:57:44 UTC 2025","TestRegisteringNewUserAccount","test_register_page","",""
"","301","user should see form account info","tests","Thu Nov 13 15:57:33 UTC 2025","passed","Thu Nov 13 15:57:33 UTC 2025","TestAccountInfoPage","test_account_info_page","",""
